source,target
Hiến pháp Không số Hiến pháp năm 1992,"Hiến pháp Không số Hiến pháp năm 1992 (sửa đổi, bổ sung năm 2001)"
Bộ luật 100/2015/QH13 Hình sự,"Luật 12/2017/QH14 Sửa đổi, bổ sung một số điều của Bộ luật Hình sự số 100/2015/QH13"
Bộ luật 10/2012/QH13 Lao động,Bộ luật 92/2015/QH13 Tố tụng dân sự
Bộ luật 24/2004/QH11 Tố tụng dân sự,"Luật 65/2011/QH12  Sửa đổi, bổ sung một số điều của Bộ Luật Tố tụng Dân sự "
Bộ luật 15/1999/QH10 Hình sự,"Luật 37/2009/QH12 Sửa đổi, bổ sung một số điều của Bộ luật Hình sự"
Bộ luật Không số Lao động,"Luật 35/2002/QH10 Sửa đổi, bổ sung một số điều của Bộ luật Lao động"
Bộ luật Không số Lao động,"Luật 74/2006/QH11 Sửa đổi, bổ sung một số điều của Bộ luật Lao động"
Bộ luật Không số Lao động,"Luật 84/2007/QH11 Sửa đổi, bổ sung Điều 73 của Bộ luật Lao động"
Bộ luật Không số Tố tụng hình sự,"Luật Không số Sửa đổi, bổ sung một số điều của Bộ luật Tố tụng hình sự"
Bộ luật Không số Tố tụng hình sự,"Luật 20/2000/QH10 Sửa đổi, bổ sung một số điều của Bộ luật Tố tụng hình sự"
Bộ luật Không số Tố tụng hình sự,"Luật 39-LCT/HĐNN8 Sửa đổi, bổ sung một số điều của Bộ luật Tố tụng hình sự"
Bộ luật Không số Hình sự,"Luật Không số Sửa đổi, bổ sung một số điều của Bộ luật Hình sự"
Bộ luật Không số Hình sự,"Luật 30-LCT/HĐNN8 Sửa đổi, bổ sung một số điều của Bộ luật Hình sự"
"Luật 40/2009/QH12 Khám bệnh, chữa bệnh",Luật 21/2017/QH14 quy hoạch
Luật 67/2014/QH13 Đầu tư,Luật 90/2015/QH13 Khí tượng thủy văn
Luật 79/2015/QH13 Thú y,Luật 21/2017/QH14 quy hoạch
Luật 77/2015/QH13 Tổ chức chính quyền địa phương,Luật 21/2017/QH14 quy hoạch
Luật 16/1999/QH10 Sỹ quan quân đội nhân dân Việt Nam,"Luật 72/2014/QH13 Sửa đổi, bổ sung một số điều của Luật Sĩ quan Quân đội nhân dân Việt Nam"
"Luật 19/2008/QH12 Sửa đổi, bổ sung một số điều của Luật Sĩ quan quân đội nhân dân Việt Nam","Luật 72/2014/QH13 Sửa đổi, bổ sung một số điều của Luật Sĩ quan Quân đội nhân dân Việt Nam"
Luật 38/2005/QH11 Giáo dục,Luật 74/2014/QH13 Giáo dục nghề nghiệp
