source,target
Bộ luật 100/2015/QH13 Hình sự,"Luật 12/2017/QH14 Sửa đổi, bổ sung một số điều của Bộ luật Hình sự số 100/2015/QH13"
Luật 28/2004/QH11 Điện lực,"Luật 28/2018/QH14 sửa đổi, bổ sung một số điều của 11 luật có liên quan đến quy hoạch"
Luật 06/2007/QH12 Hóa chất,"Luật 28/2018/QH14 sửa đổi, bổ sung một số điều của 11 luật có liên quan đến quy hoạch"
Luật 55/2010/QH12 An toàn thực phẩm,"Luật 28/2018/QH14 sửa đổi, bổ sung một số điều của 11 luật có liên quan đến quy hoạch"
Luật 50/2010/QH12 Sử dụng năng lượng tiết kiệm và hiệu quả,"Luật 28/2018/QH14 sửa đổi, bổ sung một số điều của 11 luật có liên quan đến quy hoạch"
"Luật 09/2012/QH13 Phòng, chống tác hại của thuốc lá","Luật 28/2018/QH14 sửa đổi, bổ sung một số điều của 11 luật có liên quan đến quy hoạch"
"Luật 24/2012/QH13 Sửa đổi, bổ sung một số điều của Luật Điện lực","Luật 28/2018/QH14 sửa đổi, bổ sung một số điều của 11 luật có liên quan đến quy hoạch"
Luật 29/2013/QH13 Khoa học và công nghệ,"Luật 28/2018/QH14 sửa đổi, bổ sung một số điều của 11 luật có liên quan đến quy hoạch"
Luật 49/2014/QH13 Đầu tư công,"Luật 28/2018/QH14 sửa đổi, bổ sung một số điều của 11 luật có liên quan đến quy hoạch"
Luật 53/2014/QH13 Công chứng,"Luật 28/2018/QH14 sửa đổi, bổ sung một số điều của 11 luật có liên quan đến quy hoạch"
Luật 67/2014/QH13 Đầu tư,"Luật 28/2018/QH14 sửa đổi, bổ sung một số điều của 11 luật có liên quan đến quy hoạch"
Luật 102/2016/QH13 Trẻ em,"Luật 28/2018/QH14 sửa đổi, bổ sung một số điều của 11 luật có liên quan đến quy hoạch"
Luật 105/2016/QH13 Dược,"Luật 28/2018/QH14 sửa đổi, bổ sung một số điều của 11 luật có liên quan đến quy hoạch"
Luật 67/2006/QH11 Công nghệ thông tin,Luật 21/2017/QH14 quy hoạch
Luật 41/2009/QH12 Viễn thông,Luật 21/2017/QH14 quy hoạch
Luật 22/2012/QH13 Dự trữ quốc gia,Luật 21/2017/QH14 quy hoạch
"Luật 44/2013/QH13 Thực hành tiết kiệm, chống lãng phí",Luật 21/2017/QH14 quy hoạch
Luật 74/2014/QH13 Giáo dục nghề nghiệp,Luật 21/2017/QH14 quy hoạch
Luật 79/2015/QH13 Thú y,Luật 21/2017/QH14 quy hoạch
Luật 77/2015/QH13 Tổ chức chính quyền địa phương,Luật 21/2017/QH14 quy hoạch
Luật 33/2009/QH12 Cơ quan đại diện nước Cộng hòa xã hội chủ nghĩa Việt Nam ở nước ngoài,"Luật 19/2017/QH14 Luật sửa đổi, bổ sung một số điều của Luật Cơ quan đại diện nước Cộng hòa xã hội chủ nghĩa Việt Nam ở nước ngoài."
Luật 47/2010/QH12 Các tổ chức tín dụng,"Luật 17/2017/QH14 Luật sửa đổi, bổ sung một số điều của Luật các tổ chức tín dụng"
Luật 15/2012/QH13 Xử lý vi phạm hành chính,Luật 18/2017/QH14 Luật Thủy sản
Luật 17/2012/QH13 Tài nguyên nước,Luật 08/2017/QH14 Luật Thủy lợi
Luật 43/2013/QH13 Đấu thầu,Luật 04/2017/QH14 hỗ trợ doanh nghiệp nhỏ và vừa
Luật 67/2014/QH13 Đầu tư,Luật 04/2017/QH14 hỗ trợ doanh nghiệp nhỏ và vừa
"Luật 70/2014/QH13 Sửa đổi, bổ sung một số điều của Luật Thuế tiêu thụ đặc biệt","Thông tư 20/2017/TT-BTC Sửa đổi , bổ sung Khoản 2 Điều 8 Thông tư số 195/2015/TT- BTC ngày 24/11/2015 của Bộ Tài Chính ( đã được sửa đổi bổ sung theo Thông tư số 130/2016 của Bộ Tài Chính)"
