source,target
Luật 65/2006/QH11 Luật sư,Bộ luật 101/2015/QH13 Tố tụng hình sự
Bộ luật 10/2012/QH13 Lao động,Bộ luật 92/2015/QH13 Tố tụng dân sự
Pháp lệnh 48-L/CTN Thủ tục giải quyết các tranh chấp lao động,Bộ luật 24/2004/QH11 Tố tụng dân sự
Bộ luật 15/1999/QH10 Hình sự,"Luật 37/2009/QH12 Sửa đổi, bổ sung một số điều của Bộ luật Hình sự"
Bộ luật 15/1999/QH10 Hình sự,"Luật 15/2008/QH12 Trưng mua, trưng dụng tài sản"
Bộ luật Không số Tố tụng hình sự,"Luật 20/2000/QH10 Sửa đổi, bổ sung một số điều của Bộ luật Tố tụng hình sự"
Bộ luật Không số Tố tụng hình sự,"Luật 39-LCT/HĐNN8 Sửa đổi, bổ sung một số điều của Bộ luật Tố tụng hình sự"
Bộ luật Không số Hình sự,"Luật Không số Sửa đổi, bổ sung một số điều của Bộ luật Hình sự"
Nghị quyết 200-NQ/TVQH Về việc ban hành Điều lệ Thuế công thương nghiệp,Luật 97/2015/QH13 Phí và lệ phí
Luật 25/2008/QH12 Bảo hiểm y tế,Luật 97/2015/QH13 Phí và lệ phí
Luật 35/2005/QH11 Đường sắt,Luật 97/2015/QH13 Phí và lệ phí
Luật 38/2005/QH11 Giáo dục,Luật 97/2015/QH13 Phí và lệ phí
Luật 23/2004/QH11 Giao thông đường thủy nội địa,Luật 97/2015/QH13 Phí và lệ phí
Luật 67/2011/QH12 Kiểm toán độc lập,Luật 97/2015/QH13 Phí và lệ phí
Luật 08/2012/QH13 Giáo dục đại học,Luật 97/2015/QH13 Phí và lệ phí
Luật 74/2014/QH13 Giáo dục nghề nghiệp,Luật 97/2015/QH13 Phí và lệ phí
Luật 58/2014/QH13 Bảo hiểm xã hội,"Luật 84/2015/QH13 An toàn, vệ sinh lao động"
Luật 38/2005/QH11 Giáo dục,Luật 74/2014/QH13 Giáo dục nghề nghiệp
Luật 08/2012/QH13 Giáo dục đại học,Luật 74/2014/QH13 Giáo dục nghề nghiệp
Luật 27/2008/QH12 Thuế tiêu thụ đặc biệt,"Luật 71/2014/QH13 Sửa đổi, bổ sung một số điều của các luật về thuế"
Luật 13/2008/QH12 Thuế giá trị gia tăng,"Luật 71/2014/QH13 Sửa đổi, bổ sung một số điều của các luật về thuế"
Luật 14/2008/QH12 Thuế thu nhập doanh nghiệp,"Luật 71/2014/QH13 Sửa đổi, bổ sung một số điều của các luật về thuế"
Luật 04/2007/QH12 Thuế thu nhập cá nhân,"Luật 71/2014/QH13 Sửa đổi, bổ sung một số điều của các luật về thuế"
Luật 78/2006/QH11 Quản lý thuế,"Luật 71/2014/QH13 Sửa đổi, bổ sung một số điều của các luật về thuế"
"Luật 45/2005/QH11 Thuế xuất khẩu, thuế nhập khẩu","Luật 71/2014/QH13 Sửa đổi, bổ sung một số điều của các luật về thuế"
Luật 54/2014/QH13 Hải quan,"Luật 71/2014/QH13 Sửa đổi, bổ sung một số điều của các luật về thuế"
Luật 26/2008/QH12 Thi hành án dân sự,"Luật 64/2014/QH13 Sửa đổi, bổ sung một số điều của Luật thi hành án dân sự"
Pháp lệnh 04/2002/PL-UBTVQH11 Tổ chức Tòa án quân sự,Luật 62/2014/QH13 Tổ chức Tòa án nhân dân
Luật 66/2006/QH11 Hàng không dân dụng Việt Nam,"Luật 61/2014/QH13 Sửa đổi, bổ sung một số điều của Luật Hàng không dân dụng Việt Nam"
Luật 24/2008/QH12 Quốc tịch Việt Nam,"Luật 56/2014/QH13 Sửa đổi, bổ sung một số điều của Luật Quốc tịch Việt Nam"
Luật 78/2006/QH11 Quản lý thuế,Luật 54/2014/QH13 LUẬT HẢI QUAN
Luật 54/2014/QH13 LUẬT HẢI QUAN,"Luật 71/2014/QH13 Sửa đổi, bổ sung một số điều của các luật về thuế"
"Luật 38/2009/QH12 Sửa đổi, bổ sung một số điều của các luật liên quan đến đầu tư xây dựng cơ bản",Luật 50/2014/QH13 Xây dựng
Luật 23/2004/QH11  Giao thông đường thủy nội địa,"Luật 48/2014/QH13 Luật Sửa đổi, bổ sung một số điều của Luật Giao thông đường thủy nội địa"
Luật 25/2008/QH12 Bảo hiểm y tế,"Luật 46/2014/QH13 Sửa đổi, bổ sung một số điều của Luật Bảo hiểm y tế"
"Luật 38/2009/QH12 Sửa đổi, bổ sung một số điều của các luật liên quan đến đầu tư xây dựng cơ bản",Luật 45/2013/QH13 Đất đai
"Luật 34/2009/QH12 Sửa đổi, bổ sung Điều 126 của Luật nhà ở và Điều 121 của Luật đất đai",Luật 45/2013/QH13 Đất đai
"Luật 15/2008/QH12 Trưng mua, trưng dụng tài sản",Luật 45/2013/QH13 Đất đai
Luật 66/2006/QH11 Hàng không dân dụng Việt Nam,Luật 45/2013/QH13 Đất đai
Luật 64/2010/QH12 Tố tụng hành chính,Luật 45/2013/QH13 Đất đai
"Luật 38/2009/QH12 Sửa đổi, bổ sung một số điều của các luật liên quan đến đầu tư xây dựng cơ bản",Luật 43/2013/QH13 Đấu thầu
Luật 16/2003/QH11 Xây dựng,Luật 43/2013/QH13 Đấu thầu
"Luật 09/1998/QH10 Khiếu nại, tố cáo",Luật 42/2013/QH13 Tiếp công dân
Luật 02/2011/QH13 Khiếu nại,Luật 42/2013/QH13 Tiếp công dân
Luật 76/2006/QH11 Dạy nghề,Luật 38/2013/QH13 Việc làm
Luật 71/2006/QH11 Bảo hiểm xã hội,Luật 38/2013/QH13 Việc làm
Luật 25/2008/QH12 Bảo hiểm y tế,"Luật 32/2013/QH13 Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp"
Luật 21/2008/QH12 Công nghệ cao,"Luật 32/2013/QH13 Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp"
Luật 72/2006/QH11 Người lao động Việt Nam đi làm việc ở nước ngoài theo hợp đồng,"Luật 32/2013/QH13 Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp"
Luật 80/2006/QH11 Chuyển giao công nghệ,"Luật 32/2013/QH13 Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp"
Luật 76/2006/QH11 Dạy nghề,"Luật 32/2013/QH13 Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp"
Luật 71/2006/QH11 Bảo hiểm xã hội,"Luật 32/2013/QH13 Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp"
Luật 69/2006/QH11 Trợ giúp pháp lý,"Luật 32/2013/QH13 Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp"
Luật 59/2005/QH11 Đầu tư,"Luật 32/2013/QH13 Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp"
Luật 60/2005/QH11 Doanh nghiệp,"Luật 32/2013/QH13 Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp"
Luật 51/2010/QH12 Người khuyết tật,"Luật 32/2013/QH13 Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp"
Luật 06/2012/QH13 Bảo hiểm tiền gửi,"Luật 32/2013/QH13 Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp"
Luật 08/2012/QH13 Giáo dục đại học,"Luật 32/2013/QH13 Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp"
Luật 65/2006/QH11 Luật sư,"Luật 20/2012/QH13 Sửa đổi, bổ sung một số điều của Luật Luật sư"
Pháp lệnh 38/2001/PL-UBTVQH10 Phí và lệ phí,Luật 04/2011/QH13 Đo lường
Luật 70/2006/QH11 Chứng khoán,"Luật 62/2010/QH12 Sửa đổi, bổ sung một số điều của Luật Chứng khoán"
Pháp lệnh 38/2001/PL-UBTVQH10 Phí và lệ phí,Luật 57/2010/QH12 Thuế bảo vệ môi trường
