id_source,source,target,type,weight
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 42/2017/QH14 Về thí điểm xử lý nợ xấu của các tổ chức tín dụng,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Lệnh 18/2013/L-CTN Về việc công bố Hiến pháp,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 53/2014/QH13 Công chứng,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Luật 56/2014/QH13 Sửa đổi, bổ sung một số điều của Luật Quốc tịch Việt Nam",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 54/2014/QH13 LUẬT HẢI QUAN,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 109/2015/QH13 Về việc thi hành Bộ Luật Hình sự,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 134/2016/QH13 Về điều chỉnh quy hoạch sử dụng đất đến năm 2020 và kế hoạch sử dụng đất kỳ cuối (2016 – 2020) cấp quốc gia,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 1211/2016/UBTVQH13 Về tiêu chuẩn của đơn vị hành chính và phân loại đơn vị hành chính,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Nghị quyết 144/2016/QH13 Về lùi hiệu lực thi hành của Bộ luật hình sự số 100/2015/QH13, Bộ luật tố tụng hình sự số 101/2015/QH13, Luật Tổ chức cơ quan điều tra hình sự số 99/2015/QH13, Luật Thi hành tạm giữ, tạm giam số 94/2015/QH13 và bổ sung dự án Luật sửa đổi, bổ sung Bộ luật hình sự số 100/2015/QH13  vào chương trình xây dựng luật, pháp lệnh 2016",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Nghị quyết 1130/2016/UBTVQH13 Về tiêu chuẩn, điều kiện thành lập Ban dân tộc của Hội đồng nhân dân tỉnh, huyện, thị xã và thành phố thuộc tỉnh",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Pháp lệnh 11/2016/UBTVQH13 Quản lý thị trường,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 131/2016/QH13 Bầu Viện trưởng Viện Kiểm sát nhân dân tối cao,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 129/2016/QH13 Bầu Phó Chủ tịch nước,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 130/2016/QH13 Bầu Chánh án Tòa án nhân dân tối cao,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 128/2016/QH13 Miễn nhiệm chức vụ Viện trưởng Viện kiểm sát nhân dân tối cao,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 127/2016/QH13 Miễn nhiệm chức vụ Chánh án Tòa án nhân dân tối cao,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 126/2016/QH13 Miễn nhiệm chức vụ Phó Chủ tịch nước,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 1170/2016/NQ-UBTVQH13 Ban hành Quy chế hoạt động đối ngoại của Quốc hội,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Nghị quyết 106/2015/QH13 Về việc bầu Tổng thư ký Quốc hội, nhiệm kỳ Quốc hội khóa XIII",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 102/2015/QH13 Ban hành Nội quy kỳ họp Quốc hội,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 105/2015/QH13 Về ngày bầu cử đại biểu Quốc hội khóa XIV và đại biểu Hội đồng nhân dân các cấp nhiệm kỳ 2016 - 2021; thành lập Hội đồng bầu cử quốc gia,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Lệnh 19/2015/L-CTN Về việc công bố Nghị quyết của Quốc hội,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Quyết định 1081/QĐ-TTg Về việc phê duyệt Khung chính sách tái định cư cho Dự án ""Hiệu quả lưới điện truyền tải"" (TEP) vay vốn Ngân hàng thế giới (WB)",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị định 72/2015/NĐ-CP Về quản lý hoạt động thông tin đối ngoại,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 74/2014/QH13 Về Chương trình hoạt động giám sát của Quốc Hội năm 2015,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 76/2014/QH13 Đẩy mạnh thực hiện mục tiêu giảm nghèo bền vững đến năm 2020,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Lệnh 37/2014/L-CTN Công bố Nghị quyết về việc phê chuẩn Công ước của Liên hợp quốc về quyền của người khuyết tật,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Lệnh 36/2014/L-CTN Công bố Nghị quyết về phê chuẩn Công ước của Liên hợp quốc về chống tra tấn và các hình thức đối xử hoặc trừng phạt tàn bạo, vô nhân đạo hoặc hạ nhục con người",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Lệnh 35/2014/L-CTN Công bố Nghị quyết về lấy phiếu tín nhiệm, bỏ phiếu tín nhiệm đối với người giữ chức vụ do Quốc hội, Hội đồng nhân dân bầu hoặc phê chuẩn",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Lệnh 34/2014/L-CTN Công bố Luật giáo dục nghề nghiệp,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Lệnh 33/2014/L-CTN Công bố Luật Công an nhân dân,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Lệnh 32/2014/L-CTN Công bố Luật sửa đổi, bổ sung một số điều của Luật sĩ quan Quân đội nhân dân Việt Nam",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Lệnh 24/2014/L-CTN Công bố Luật nhà ở,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Lệnh 25/2014/L-CTN Công bố Luật kinh doanh bất động sản,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Lệnh 26/2014/L-CTN Công bố Luật sửa đổi, bổ sung một số điều của Luật thi hành án dân sự",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Lệnh 27/2014/L-CTN Công bố Luật đầu tư,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Lệnh 28/2014/L-CTN Công bố Luật doanh nghiệp,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Lệnh 29/2014/L-CTN Công bố Luật quản lý, sử dụng vốn nhà nước đầu tư vào sản xuất, kinh doanh tại doanh nghiệp",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Lệnh 30/2014/L-CTN Công bố Luật sửa đổi, bổ sung một số điều của Luật thuế tiêu thụ đặc biệt",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Lệnh 31/2014/L-CTN Công bố Luật sửa đổi, bổ sung một số điều của các Luật về thuế",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Lệnh 16/2014/L-CTN Công bố Luật Bảo hiểm xã hội,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Nghị quyết 819/2014/UBTVQH13 Điều chỉnh Chương trình xây dựng luật, pháp lệnh năm 2014 và nhiệm kỳ Quốc hội khóa XIII",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 719/2014/NQ-UBTVQH13 Hướng dẫn thực hiện Nghị quyết 64/2013/QH13 quy định thi hành Hiến pháp nước Việt Nam,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Lệnh 17/2014/L-CTN Công bố Luật căn cước công dân,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Pháp lệnh 10/2014/UBTVQH13 Cảnh sát môi trường,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Nghị quyết 83/2014/QH13 Về việc phê chuẩn Công ước của Liên hợp quốc về chống tra tấn và các hình thức đối xử hoặc trừng phạt tàn bạo, vô nhân đạo hoặc hạ nhục con người",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 84/2014/QH13 Phê chuẩn Công ước của Liên hợp quốc về quyền của người khuyết tật do Quốc hội ban hành,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Nghị quyết 85/2014/QH13 Về lấy phiếu tín nhiệm, bỏ phiếu tín nhiệm đối với người giữ chức vụ do Quốc hội, Hội đồng nhân dân bầu hoặc phê chuẩn",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Nghị quyết 87/2014/QH13 Về chất vấn và trả lời chất vấn tại kỳ họp thứ 8, Quốc hội khóa XIII",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 77/2014/QH13 Về kế hoạch phát triển kinh tế-xã hội năm 2015,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 74/2014/QH13 Giáo dục nghề nghiệp,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 73/2014/QH13 Công an nhân dân,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Luật 72/2014/QH13 Sửa đổi, bổ sung một số điều của Luật Sĩ quan Quân đội nhân dân Việt Nam",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Luật 70/2014/QH13 Sửa đổi, bổ sung một số điều của Luật Thuế tiêu thụ đặc biệt",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Luật 69/2014/QH13 Quản lý, sử dụng vốn nhà nước đầu tư vào sản xuất, kinh doanh tại doanh nghiệp",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 857/NQ-UBTVQH13 Về việc tổ chức lấy ý kiến Nhân dân đối với dự thảo Bộ luật dân sự (sửa đổi),directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 68/2014/QH13 Doanh nghiệp,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 67/2014/QH13 Đầu tư,directed,3
